Worm Queen	speaks	I'm afraid, sister. Your Continuity grows near.
Elder Queen	speaks	Hush, worm. Let the beasts do their work.
Worm Queen	speaks	But the dreamers have awakened. They will come for us.
Elder Queen	speaks	Yes, they will... like the answer to a prayer.
Lotus	speaks	Tenno? Are you alright? Your Somatics output seems high.
Operator	speaks	I... just... nodded off. It's nothing.
Lotus	speaks	Good. Deploy a Warframe to Lua. My sentries have gone silent. We may have an intrusion.
Operator	speaks	On it.
Lotus	speaks	It was here Margulis put you into the dream, tried to heal you... tried to give you the strength to tame the Void within you. In a way, this is where you, where all Tenno, were born.
Operator	speaks	But we weren't born here, were we?
Lotus	speaks	No. When the Zariman was found adrift, the Orokin did everything they could to erase their mistakes. Transit recordings, personnel logs... everything was wiped out. The only thing they kept was... you.
Lotus	speaks	I'm detecting an unknown signature further ahead. Find out who it is and what they're doing.
Operator	speaks	I just saw the intruder... moving fast. I think it's Teshin.
Lotus	speaks	Teshin? What is he doing here? It looks like he's heading to a Reservoir. Follow him.
Teshin	speaks	Leave now. This doesn't concern you, child.
Operator	speaks	Don't call me that. What are you doing here?
Elder Queen	speaks	Bring them to me.
Operator	speaks	What was that?
Teshin	speaks	The Queens.
Operator	speaks	Queens?! The Grineer Queens? Tell me what--
Teshin	speaks	I am warning you. You think you're safe behind this metal, but you're not. Not in the ways that matter here. Behind this, you're still just a child --
Operator	speaks	Stop saying that.
Teshin	speaks	Follow me again, Tenno, and you will answer to my sword.
Lotus	speaks	I thought the Queens were just an invention of Grineer command. No one has ever seen them in the flesh.
Operator	speaks	I have a feeling Teshin has. Can you track him?
Lotus	speaks	Not with Specters masking him. But Tenno, we don't know anything about the Queens. Maybe Teshin alone should--
Operator	speaks	No. Teshin's not going to tell me what I can and cannot do. I'll take out his Specters so you can track him.
Lotus	speaks	I have a lock on his route. Exfiltrate when you're ready.
Lotus	speaks	Teshin is trying to mask his location from us, but I have pinpointed a suspicious signal for you to investigate. Find him, we need answers.
Lotus	speaks	All my scans for Teshin have converged on this location. Find him.
Operator	speaks	Why hasn't he reached out to us? If he is pursuing the Queens, we can help him.
Lotus	speaks	Pride or shame, he does seem to have some connection to them. Stay on the trail. Finding the Queens could give us a tactical advantage against the Grineer.
Operator	speaks	Understood.
Operator	speaks	I've picked up the trail again.
Lotus	speaks	That's not Teshin, it's another one of his Specters. He's trying to shake us off the trail. Capture that Specter, we can use it to find the real Teshin.
Lotus	speaks	Well done. Return to your ship, I will alert you when I've decrypted this Specter's control signature.
Lotus	speaks	Teshin's Specter points to what should be an unpopulated asteroid field, but deep scans show the presence of a security-matrix. Someone is trying to hide something, I need you to find out what. Prepare your Archwing.
Lotus	speaks	Something is hiding in this asteroid field but before you can investigate you need to disable the security matrix. Ordis, are you certain this is the best angle of approach?
Ordis	speaks	Well, outside this corridor lie burst scanners, severe radiation, proximity mines, --GRINEER DEATH BEAMS-- so yes, Ordis recommends staying within the shipping corridor.
Ordis	speaks	Operator, watch that transport ahead. The scanner is only able to scan one side at a time. You can use that to your advantage.
Lotus	speaks	You heard Ordis. Keep the transport between yourself and the beams. Do not let them touch you.
Ordis	speaks	They're going to scan the top of the transport, get below it.
Ordis	speaks	Another scanner, to the right of the ship.
Ordis	speaks	Watch out, to the ship's left, another scanner.
Ordis	speaks	(sigh of relief) This is the last scanner.
Lotus	speaks	Nicely done. They still haven't seen you.
Ordis	speaks	You're clear.
Ordis	speaks	Yes. Might I say that was smooth, Operator.
Lotus	speaks	You're through. Land at the checkpoint.
Lotus	speaks	You've been detected. They know you are here.
Lotus	speaks	This checkpoint is the central hub of the security matrix. Shut it down so Ordis can fly you in undetected.
Lotus	speaks	They're coming for you. Don't let them abort the shutdown.
Ordis	speaks	Ordis no longer detects any security.
Lotus	speaks	Good, but we can't take any chances, silence the remaining Grineer.
Lotus	speaks	You are in the clear. Keep moving.
Operator	speaks	Are you seeing this?!
Lotus	speaks	(static) It must be the Queens' Fortress.
Operator	speaks	Are those Fomorian engines mounted on an asteroid? No wonder we've never been able to find it. It's always moving.
Lotus	speaks	(static) Excellent, Tenno. Now get out of there. We'll need to analyze the intel you've gathered before our next move.
Operator	speaks	Negative. I'm heading in for a closer look.
Lotus	speaks	(static) There is a lot of Transference distortion in this area. I recommend we abort this mission and wait for Teshin to reach out.
Operator	speaks	If the base moves again, we'll lose this opportunity. I'm going in.
Operator	speaks	Fine. I'll head back to the Orbiter, but the base won't be here for long.
Ordis	speaks	Operator, if you must enter the Queens' Fortress, you'll need to hurry, it could disappear at any moment.
Operator	speaks	Massively fortified. The Queens have to be here. I'm going to infiltrate the base.
Operator	speaks	Lotus, are you receiving me?
Elder Queen	speaks	We're so glad you came.
Operator	speaks	Lotus? If you can hear me, something's tampering with the Transference stream. I'm going to locate the source.
Queens	speaks	We have a gift for you.
Operator	speaks	I know this place.
Operator	speaks	Teshin?!
Teshin	speaks	You shouldn't have come here. You've ruined us both.
Elder Queen	speaks	Well done, Teshin Dax.
Operator	speaks	Teshin Dax... you're with them?
Teshin	speaks	I have come, as you commanded, my Queens.
Worm Queen	speaks	And this is your offering? My sister needs the orphan child, not its Infested puppet.
Teshin	speaks	The child? For what purpose?
Worm Queen	speaks	(laughs) To eat it, of course!
Elder Queen	speaks	Hush worm! Do not question your Lords, Teshin Dax. Bring me the orphan. Bring me my Yuvan.
Operator	speaks	ENOUGH!
Worm Queen	speaks	(gasp) How rude!
Elder Queen	speaks	Oh, it's not their fault, worm. Mommy and Daddy weren't around long enough to teach them any manners. (laugh) We will have to.
Operator	speaks	Ordis! What is this?!
Ordis	speaks	A Transference surge, Operator! You're losing your Warframe connection!
Elder Queen	speaks	You have some idea that you're invincible, don't you? Nestled away in that mad Cephalon's crib-
Elder Queen	speaks	But you belong to me now. For you see, child, we conceived of these ugly, metal cysts.
Ordis	speaks	Operator! Cut the link!
Operator	speaks	I... I can't!
Elder Queen	speaks	We gave you your precious gifts. And now, just as easily, we take them all away!
Ordis	speaks	CUT THE LINK! Transference overload in 5... 4... 3...
Operator	speaks	(grunts)
Ordis	speaks	Great job, Ordis. Ship Cephalon? More like Ship Fail-bot. When the Operator needed you most you --
Operator	speaks	Ordis, enough.
Ordis	speaks	Operator?! By stars! Don't do that to me. I am sorry I do not know what happened. Please, command me to self-destruct. Let me start it for you... commencing self-destruct in 5--4--3--2--
Operator	speaks	Stop... uh... what's with the music?
Ordis	speaks	Isn't it great? I can lead you through some breathing exercises...
Operator	speaks	Just... just turn it off! Get the Transference power back on, okay? I lost my Warframe.
Ordis	speaks	I've been trying. You may need to do your uh... Tenno thing again. Re-energize it, you know, with your... Void stuff!
Operator	speaks	I-I can't. It's... gone.
Ordis	speaks	What? Gone? Are you sure? How will you command the Warframes if your --Conditions satisfied. Engaging Purge Precept.--
Operator	speaks	Purge? Purge what?! Ordis?! What the hell?!
Ordis	speaks	--You no longer possess Transference. You no longer command the Warframes. You no longer are the Operator. You must be purged from this vessel.--
Ordis	speaks	Non-operator, I'm sorry to inconvenience you, but I'm going to decompress the ship now.
Ordis	speaks	Former Operator, Ordis cannot keep missing like this! Get out of here before --I Purge you.--
Ordis	speaks	Ex-Operator, if you get to the navigation console, I may be able to detach the landing craft before I... before I kill you.
Ordis	speaks	--You are not the Operator. You will be purged.--
Ordis	speaks	--Exterminate! Exterminate the non-Operator.--
Ordis	speaks	Operator! Cut the link... cut the link!
Operator	speaks	Ugh... What happened to you?
Teshin	speaks	They gave up.
Operator	speaks	You... you betrayed me, you Infested piece of--
Teshin	speaks	Yes, do it.
Teshin	speaks	As I thought. The hard way, then.
Operator	speaks	So the great Teshin is just a dog... fetching the Queen's stick wherever she throws it.
Teshin	speaks	I warned you. Now you're trapped inside this place with the Queens burrowing in. Now I am forced to undo what Margulis did, to open the gates... and make you suffer.
Teshin	speaks	Margulis lied to you, a lie of omission. She did not cure the Zariman children - she erased them. My only hope is that truth still lingers inside you, buried within your mind. The power and the misery... of the Void.
Teshin	speaks	The Ayatan Sculptures are perpetually in motion, monuments of Orokin Continuity... immortality. But this one is halted and aging, needing you, as the Queens do. Will you give in to them? Or will you face the coil?
Operator	speaks	(grunts)
Operator	speaks	I remember...
Elder Queen	speaks	Mother takes your hand and says there's been an accident. But don't worry, angel, you're safe with me. Her eyes are distant, unfocused...
Operator	speaks	She's lying.
Operator	speaks	(gasps)
Operator	speaks	(struggles to remove bone that stabbed into their leg)
